Text3,Text1,Text,Field,Hempfield_Area_HS_8,Text2
2/3/2024,Twirlers: SMT,Glendale MS,Total,,56.710
2/3/2024,Twirlers: INT,Haven Performing Arts,EQ70-130,"13.350 1
st",
2/3/2024,Twirlers: INT,Haven Performing Arts,MV70-130,"12.940 1
st",
2/3/2024,Twirlers: INT,Haven Performing Arts,DES 70/130,"13.280 1
st",
2/3/2024,Twirlers: INT,Haven Performing Arts,GE 70/130,"11.350 1
st",
2/3/2024,Twirlers: INT,Haven Performing Arts,GE 70/130,"12.680 1
st",
2/3/2024,Twirlers: INT,Haven Performing Arts,Total,,63.600
2/3/2024,Twirlers: SNT,Glendale HS,EQ70-130,"13.890 1
st",
2/3/2024,Twirlers: SNT,Glendale HS,MV70-130,"12.280 1
st",
2/3/2024,Twirlers: SNT,Glendale HS,DES 70/130,"11.760 1
st",
2/3/2024,Twirlers: SNT,Glendale HS,GE 70/130,"11.420 1
st",
2/3/2024,Twirlers: SNT,Glendale HS,GE 70/130,"12.880 1
st",
2/3/2024,Twirlers: SNT,Glendale HS,Total,,62.230
2/3/2024,Twirlers: SRT,Central Mountain HS,EQ70-130,"14.420 1
st",
2/3/2024,Twirlers: SRT,Central Mountain HS,MV70-130,"12.750 1
st",
2/3/2024,Twirlers: SRT,Central Mountain HS,DES 70/130,"12.490 1
st",
2/3/2024,Twirlers: SRT,Central Mountain HS,GE 70/130,"11.220 2
nd",
2/3/2024,Twirlers: SRT,Central Mountain HS,GE 70/130,"11.950 1
st",
2/3/2024,Twirlers: SRT,Central Mountain HS,Total,,62.830
2/3/2024,Twirlers: SAT,Central Mountain HS,EQ70-130,"14.150 1
st",
2/3/2024,Twirlers: SAT,Central Mountain HS,MV70-130,"13.210 1
st",
2/3/2024,Twirlers: SAT,Central Mountain HS,DES 10/10,"13.600 1
st",
2/3/2024,Twirlers: SAT,Central Mountain HS,GE 10/10,"13.200 1
st",
2/3/2024,Twirlers: SAT,Central Mountain HS,GE 10/10,"13.400 1
st",
2/3/2024,Twirlers: SAT,Central Mountain HS,Total,,67.560
2/3/2024,Twirlers: SUT,Penn State Elegance,EQ70-130,"13.350 1
st",
2/3/2024,Twirlers: SUT,Penn State Elegance,MV70-130,"11.150 1
st",
2/3/2024,Twirlers: SUT,Penn State Elegance,DES 10/10,"10.800 1
st",
2/3/2024,Twirlers: SUT,Penn State Elegance,GE 10/10,"9.700 1
st",
2/3/2024,Twirlers: SUT,Penn State Elegance,GE 10/10,"11.000 1
st",
2/3/2024,Twirlers: SUT,Penn State Elegance,Total,,56.000
2/3/2024,Twirlers: IST,Matriarch,EQ70-130,"13.750 1
st",
2/3/2024,Twirlers: IST,Matriarch,MV70-130,"11.140 1
st",
2/3/2024,Twirlers: IST,Matriarch,DES 10/10,"12.000 1
st",
2/3/2024,Twirlers: IST,Matriarch,GE 10/10,"11.900 1
st",
2/3/2024,Twirlers: IST,Matriarch,GE 10/10,"11.900 1
st",
2/3/2024,Twirlers: IST,Matriarch,Total,,60.690
2/3/2024,Dance: IJD,Haven Performing Arts,MV70-130-DANCE,"26.160 1
st",
2/3/2024,Dance: IJD,Haven Performing Arts,DES 70/130,"15.410 1
st",
2/3/2024,Dance: IJD,Haven Performing Arts,GE 70/130,"16.210 1
st",
2/3/2024,Dance: IJD,Haven Performing Arts,GE 70/130,"15.540 1
st",
2/3/2024,Dance: IJD,Haven Performing Arts,Total,,73.320
2/3/2024,Dance: IND,Haven Performing Arts,MV70-130-DANCE,"24.160 1
st",
2/3/2024,Dance: IND,Haven Performing Arts,DES 70/130,"12.280 1
st",
2/3/2024,Dance: IND,Haven Performing Arts,GE 70/130,"12.080 1
st",
2/3/2024,Dance: IND,Haven Performing Arts,GE 70/130,"12.420 1
st",
2/3/2024,Dance: IND,Haven Performing Arts,Total,,60.940
2/3/2024,Dance: SRD,Bellefonte Area HS,MV70-130-DANCE,"22.580 1
st",
2/3/2024,Dance: SRD,Bellefonte Area HS,DES 70/130,"12.080 1
st",
2/3/2024,Dance: SRD,Bellefonte Area HS,GE 70/130,"12.480 1
st",
2/3/2024,Dance: SRD,Bellefonte Area HS,GE 70/130,"11.880 1
st",
2/3/2024,Dance: SRD,Bellefonte Area HS,Total,,59.020
2/3/2024,Guard: SOG,Allegany HS,EQ10-10,"12.500 1
st",
2/3/2024,Guard: SOG,Allegany HS,MV10-10,"12.500 1
st",
2/3/2024,Guard: SOG,Allegany HS,DES 10/10,"12.600 1
st",
2/3/2024,Guard: SOG,Allegany HS,GE 10/10,"11.000 1
st",
2/3/2024,Guard: SOG,Allegany HS,GE 10/10,"11.800 1
st",
2/3/2024,Guard: SOG,Allegany HS,Total,,60.400
2/3/2024,Guard: SMG,Mifflin County MS,EQ70-130,"8.870 1
st",
2/3/2024,Guard: SMG,Mifflin County MS,MV70-130,"10.350 1
st",
2/3/2024,Guard: SMG,Mifflin County MS,DES 70/130,"9.880 1
st",
2/3/2024,Guard: SMG,Mifflin County MS,GE 70/130,"10.940 1
st",
2/3/2024,Guard: SMG,Mifflin County MS,GE 70/130,"9.810 1
st",
2/3/2024,Guard: SMG,Mifflin County MS,Total,,49.850
2/3/2024,Guard: SNG,Glendale HS,EQ70-130,"12.990 4
th",
2/3/2024,Guard: SNG,Glendale HS,MV70-130,"12.020 2
nd",
2/3/2024,Guard: SNG,Glendale HS,DES 70/130,"10.090 3
rd",
2/3/2024,Guard: SNG,Glendale HS,GE 70/130,"9.740 4
th",
2/3/2024,Guard: SNG,Glendale HS,GE 70/130,"10.080 3
rd",
2/3/2024,Guard: SNG,Glendale HS,Total,,54.920
2/3/2024,Dance: IRD,Remade by Dance,Total,,--
2/3/2024,,,,,
2/3/2024,Dance: SMD,Kutztown MS,MV70-130-DANCE,"26.280 1
st",
2/3/2024,Dance: SMD,Kutztown MS,GE 70/130,"12.410 1
st",
2/3/2024,Dance: SMD,Kutztown MS,GE 70/130,"10.150 1
st",
2/3/2024,Dance: SMD,Kutztown MS,DES 70/130,"12.210 1
st",
2/3/2024,Dance: SMD,Kutztown MS,Total,,61.050
2/3/2024,Dance: IJD,Emerge,MV70-130-DANCE,"29.220 1
st",
2/3/2024,Dance: IJD,Emerge,DES 70/130,"13.610 1
st",
2/3/2024,Dance: IJD,Emerge,GE 70/130,"16.010 1
st",
2/3/2024,Dance: IJD,Emerge,GE 70/130,"13.540 1
st",
2/3/2024,Dance: IJD,Emerge,Total,,72.380
2/3/2024,Dance: IND,Freedom Dance,MV70-130-DANCE,"24.680 1
st",
2/3/2024,Dance: IND,Freedom Dance,DES 70/130,"12.610 1
st",
2/3/2024,Dance: IND,Freedom Dance,GE 70/130,"9.680 1
st",
2/3/2024,Dance: IND,Freedom Dance,GE 70/130,"12.480 1
st",
2/3/2024,Dance: IND,Freedom Dance,Total,,59.450
2/3/2024,Dance: SAD,Kutztown HS,MV70-130-DANCE,"20.020 1
st",
2/3/2024,Dance: SAD,Kutztown HS,DES 10/10,"11.000 1
st",
2/3/2024,Dance: SAD,Kutztown HS,GE 10/10,"9.000 1
st",
2/3/2024,Dance: SAD,Kutztown HS,GE 10/10,"10.600 1
st",
2/3/2024,Dance: SAD,Kutztown HS,Total,,50.620
2/3/2024,Dance: IAD,Emerge,MV70-130-DANCE,"24.820 1
st",
2/3/2024,Dance: IAD,Emerge,DES 10/10,"13.400 1
st",
2/3/2024,Dance: IAD,Emerge,GE 10/10,"10.800 1
st",
2/3/2024,Dance: IAD,Emerge,GE 10/10,"12.800 1
st",
2/3/2024,Dance: IAD,Emerge,Total,,61.820
2/3/2024,Dance: IWD,Legacy,MV10-10-DANCE,"16.000 1
st",
2/3/2024,Dance: IWD,Legacy,DES 10/10,"8.000 1
st",
2/3/2024,Dance: IWD,Legacy,GE 10/10,"8.000 1
st",
2/3/2024,Dance: IWD,Legacy,GE 10/10,"8.000 1
st",
2/3/2024,Dance: IWD,Legacy,Total,,40.000
2/3/2024,Twirlers: SMT,Kutztown MS,EQ70-130,"10.280 1
st",
2/3/2024,Twirlers: SMT,Kutztown MS,MV70-130,"9.610 1
st",
2/3/2024,Twirlers: SMT,Kutztown MS,DES 70/130,"9.350 1
st",
2/3/2024,Twirlers: SMT,Kutztown MS,GE 70/130,"8.880 1
st",
2/3/2024,Twirlers: SMT,Kutztown MS,GE 70/130,"9.880 1
st",
2/3/2024,Twirlers: SMT,Kutztown MS,Total,,48.000
2/3/2024,Twirlers: IJT,Emerge,EQ70-130,"13.280 1
st",
2/3/2024,Twirlers: IJT,Emerge,MV70-130,"16.220 1
st",
2/3/2024,Twirlers: IJT,Emerge,DES 70/130,"14.480 1
st",
2/3/2024,Twirlers: IJT,Emerge,GE 70/130,"16.350 1
st",
2/3/2024,Twirlers: IJT,Emerge,GE 70/130,"14.470 1
st",
2/3/2024,Twirlers: IJT,Emerge,Total,,74.800
2/3/2024,Twirlers: IAT,Revolution,EQ70-130,"12.340 2
nd",
2/3/2024,Twirlers: IAT,Revolution,MV70-130,"9.540 2
nd",
2/3/2024,Twirlers: IAT,Revolution,DES 10/10,"10.600 2
nd",
2/3/2024,Twirlers: IAT,Revolution,GE 10/10,"9.300 2
nd",
2/3/2024,Twirlers: IAT,Revolution,GE 10/10,"11.000 2
nd",
2/3/2024,Twirlers: IAT,Revolution,Total,,52.780
2/3/2024,Twirlers: SAT,Kutztown HS,EQ70-130,"12.880 1
st",
2/3/2024,Twirlers: SAT,Kutztown HS,MV70-130,"11.340 1
st",
2/3/2024,Twirlers: SAT,Kutztown HS,DES 10/10,"10.700 1
st",
2/3/2024,Twirlers: SAT,Kutztown HS,GE 10/10,"8.800 1
st",
2/3/2024,Twirlers: SAT,Kutztown HS,GE 10/10,"11.400 1
st",
2/3/2024,Twirlers: SAT,Kutztown HS,Total,,55.120
2/3/2024,Twirlers: IST,Revolution,EQ70-130,"12.480 1
st",
2/3/2024,Twirlers: IST,Revolution,MV70-130,"10.610 1
st",
2/3/2024,Twirlers: IST,Revolution,DES 10/10,"10.600 1
st",
2/3/2024,Twirlers: IST,Revolution,GE 10/10,"9.500 1
st",
2/3/2024,Twirlers: IST,Revolution,GE 10/10,"11.500 1
st",
2/3/2024,Twirlers: IST,Revolution,Total,,54.690
2/3/2024,Guard: IJG,Freedom Jr Guard,EQ70-130,"10.210 1
st",
2/3/2024,Guard: IJG,Freedom Jr Guard,MV70-130,"9.340 1
st",
2/3/2024,Guard: IJG,Freedom Jr Guard,DES 70/130,"11.750 1
st",
2/3/2024,Guard: IJG,Freedom Jr Guard,GE 70/130,"8.810 1
st",
2/3/2024,Guard: IJG,Freedom Jr Guard,GE 70/130,"11.350 1
st",
2/3/2024,Guard: IJG,Freedom Jr Guard,Total,,51.460
2/3/2024,Guard: SNG,Trinity HS,EQ70-130,"11.080 2
nd",
2/3/2024,Guard: SNG,Trinity HS,MV70-130,"9.810 3
rd",
2/3/2024,Guard: SNG,Trinity HS,DES 70/130,"12.480 2
nd",
2/3/2024,Guard: SNG,Trinity HS,GE 70/130,"9.280 3
rd",
2/3/2024,Guard: SNG,Trinity HS,GE 70/130,"12.480 1
st",
2/3/2024,Guard: SNG,Trinity HS,Total,,55.130
2/3/2024,Guard: ING,Freedom  Guard,EQ70-130,"14.280 1
st",
2/3/2024,Guard: ING,Freedom  Guard,MV70-130,"10.870 1
st",
2/3/2024,Guard: ING,Freedom  Guard,DES 70/130,"13.410 1
st",
2/3/2024,Guard: ING,Freedom  Guard,GE 70/130,"10.610 1
st",
2/3/2024,Guard: ING,Freedom  Guard,GE 70/130,"13.210 1
st",
2/3/2024,Guard: ING,Freedom  Guard,Total,,62.380
2/3/2024,Guard: SRG,Donegal HS,EQ70-130,"12.680 2
nd",
2/3/2024,Guard: SRG,Donegal HS,MV70-130,"13.410 2
nd",
2/3/2024,Guard: SRG,Donegal HS,DES 70/130,"11.550 3
rd",
